# not necessarily q
??    1215.6701 0.416400  6.265E8  1.00 No ID NOTE:DON'T USE TABS AS SEPARATORS
>>    1215.6701 0.416400  6.265E8  1.00
<<    1215.6701 0.416400  6.265E8  1.00 
<>    1215.6701 0.416400  6.265E8  1.00 
__    1215.6701 0.416400  6.265E8  1.00
H I   1215.6701 0.416400  6.265E8  1.00794 Morton(03), 2cpts sep by 1.3 km/s, A&G:10.446
H I   1025.7223 0.079120  1.897E8
H I    972.5368 0.029000  8.127E7
H I    949.7431 0.013940  4.204E7
H I    937.8035 0.007799  2.450E7
H I    930.7483 0.004814  1.236E7  Aki only (< real Gamma)
H I    926.2257 0.003183  8.255E6
H I    923.1504 0.002216  5.785E6
H I    920.9631 0.001605  4.210E6
H I    919.3514 0.00120   3.160E6
H I    918.1294 0.000921  2.432E6
H I    917.1806 7.226e-4  1.911E6
H I    916.429 0.000577  1.529E6
H I    915.824 0.000469  1.243E6
H I    915.329 0.000386  1.024E6
H I    914.919 0.000321  8.533E5
H I    914.576 0.000270  7.186E5
H I    914.286 0.000230  6.109E5
H I    914.039 0.000197  5.237E5
H I    913.826 0.000170  4.523E5
H I    913.641 0.000148  3.933E5
H I    913.480 0.000129  3.443E5
H I    913.339 0.000114  3.030E5
H I    913.215 0.000101  2.679E5
H I    913.104 0.000089  2.382E5
H I    913.006 0.000080  2.127E5
H I    912.918 0.000071  1.907E5
H I    912.839 0.000064  1.716E5
H I    912.768 0.000058  1.550E5
H I    912.703 0.000053  1.405E5
H I    912.645 0.000048  1.277E5
H I    911.7633 0.630E-17 1.0000  Lyman limit
H I2  6564.623 0.695800  6.465E7    n=2 level
H I2  4862.688 0.121800  2.062E7
H I2  4341.690 0.044370  9.425E6
D I   1215.3394 0.416500  6.270E8  2.00  Morton values
D I   1025.4433 0.079100  1.897E8      "
D I    972.2722 0.029010  8.127E7      "
D I    949.4847 0.013950  4.204E7      "
D I    937.5484 0.007808  2.450E7      "
D I    930.4951 0.004817  1.237E7    Morton Aki only
D I    925.9737 0.003184  8.261E6      "
D I    922.899 0.002216  5.789E6      "
D I    920.712 0.001605  4.214E6      "
D I    919.102 0.001201  3.162E6      "
D I    917.879 0.000921  2.434E6      "
D I    916.931 0.000723  1.913E6      "
D I    916.179 0.000577  1.531E6      "
D I    915.575 0.000469  1.244E6      "
D I    915.080 0.000386  1.025E6      "
HeI    584.334 0.285000   2.000e8  4.002602   VBT A&G:9.435
HeI    537.0296 0.0752    2.000e8
HeI    522.2128 0.0307    2.000e8
HeI    515.6165 0.0154    2.000E8
HeII   303.7822 0.416     6.270E8  4.002602   VBT
HeII   256.317  0.0790    1.897E8
BeII  3131.3292 0.332100  1.130E8  9.012182 M03g (gamma in table, not Aki) A&G:-0.137
BeII  3131.9742 0.166000  1.129E8  M03g M03=Morton2003
BeII  1036.319  0.027690  1.846E8  M03g
BeII  1036.299  0.055380  1.846E8  M03g
B II  1362.463  0.9960    1.190E9  10.811    M03g  A&G:1.326
B III 2066.436  0.238     1.0e8  Kurucz
B III 2067.893  0.119     1.0e8  Kurucz
C I   1139.7919 0.012300  2.100e7  12.011 M03  A&G:7.004
C I   1155.8092 0.004920  8.190e6  M03
C I   1157.3300 0.001120  3.980E6  M03
C I   1157.9097 0.021200  3.510e7  M03
C I   1188.8329 0.012400  1.950E7  M03
C I   1193.0300 0.040900  6.390E7  M03
C I   1193.9954 0.012400  1.940E7  M03
C I   1260.7351 0.050700  2.400e8  M03g
C I   1276.4822 0.005890  8.030E6  M03
C I   1277.2452 0.085300  2.320E8  M03g
